Batch Size,Trial #,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Data Loading Time Per Batch (ms),Epoch Run Time (s)
512,1,1,1,652.466728448867,642.226346969604,28368.1186282116,798.121808767318
512,1,1,2,646.716007471084,640.631036996841,28118.0872813515,798.126330137252
512,1,1,3,638.424747228622,632.115383148193,27757.5977055922,798.121251106262
512,1,2,1,651.677591562271,641.260924577713,28333.8083287944,792.808363199234
512,1,2,2,636.516047954559,630.490775585174,27674.610780633,792.807224273681
512,1,2,3,635.49237537384,629.402328729629,27630.1032771234,792.80754995346
512,2,1,1,656.559068679809,645.923976182937,28546.0464643395,798.258368253707
512,2,1,2,638.414487123489,632.331200838089,27757.1516140647,798.257158279419
512,2,1,3,645.7185754776,639.03934597969,28074.7206729391,798.262463808059
512,2,2,1,646.243687868118,635.708438873291,28097.5516464399,788.165655374527
512,2,2,2,624.072327136993,618.033898591995,27133.5794407388,788.166157484054
512,2,2,3,627.314985990524,620.685844182968,27274.5646082836,788.164873600006
512,3,1,1,647.515386343002,637.058650493621,28152.8428844783,792.077719449997
512,3,1,2,640.097320079803,633.938974618911,27830.3182643392,792.077254533767
512,3,1,3,635.429456710815,628.772386312484,27627.3676830789,792.077804088592
512,3,2,1,645.592978715896,635.192029237747,28069.2599441694,791.621429681778
512,3,2,2,635.864585399627,629.704797267913,27646.2863217229,791.620009183883
512,3,2,3,632.157999277114,625.652318716049,27485.1304033528,791.620027780532
